t,rainfall
1420.0,0.23273
1421.0,0.23273
1422.0,0.38789
1423.0,0.54304
1424.0,0.77577
1425.0,1.39639
1426.0,2.17216
1427.0,3.25824
1428.0,4.42189
1429.0,5.19766
1430.0,5.9734300000000005
1431.0,6.98193
1432.0,7.7577
1433.0,7.36982
1434.0,6.82678
1435.0,6.05101
1436.0,4.8873500000000005
1437.0,3.33581
1438.0,2.17216
1439.0,1.16366
1440.0,0.62062
1441.0,0.62912
1442.0,0.3932
1443.0,0.23592
1444.0,0.23592
1445.0,0.23592
1446.0,0.3932
1447.0,0.55048
1448.0,0.7864
1449.0,1.41552
1450.0,2.2019100000000003
1451.0,3.30287
1452.0,4.482469999999999
1453.0,5.26886
1454.0,6.05526
1455.0,7.07758
1456.0,7.863969999999999
1457.0,7.4707799999999995
1458.0,6.9203
1459.0,6.133900000000001
1460.0,4.9543
1461.0,3.38151
1462.0,2.2019100000000003
1463.0,1.1796
1464.0,0.62912
1465.0,0.10542
1466.0,0.06588999999999999
1467.0,0.03953
1468.0,0.03953
1469.0,0.03953
1470.0,0.06588999999999999
1471.0,0.09224
1472.0,0.13177
1473.0,0.23718999999999998
1474.0,0.36896999999999996
1475.0,0.55345
1476.0,0.75112
1477.0,0.88289
1478.0,1.01467
1479.0,1.18597
1480.0,1.31775
1481.0,1.25186
1482.0,1.15962
1483.0,1.0278399999999999
1484.0,0.83018
1485.0,0.5666300000000001
1486.0,0.36896999999999996
1487.0,0.19766
1488.0,0.10542
1489.0,0.04251
1490.0,0.02657
1491.0,0.01594
1492.0,0.01594
1493.0,0.01594
1494.0,0.02657
1495.0,0.03719
1496.0,0.053130000000000004
1497.0,0.09564
1498.0,0.14878
1499.0,0.22316999999999998
1500.0,0.30287000000000003
