Time_days,Depth_m,Pressure_Head,FS
0.0,9.7413,-420.299,0.642133728730307
0.0,9.7963,-419.848,0.6418439681184344
0.0,9.8513,-419.398,0.6415574429848544
0.0,9.9064,-418.948,0.6412735871345472
0.0,9.9614,-418.497,0.6409933781183124
0.0,10.0164,-418.047,0.6407162463545618
0.0,10.0715,-417.597,0.6404416457825365
0.0,10.1265,-417.147,0.6401705237443238
0.0,10.1816,-416.696,0.6399018458994536
0.0,10.2366,-416.246,0.6396365401996712
0.0,10.2916,-415.796,0.6393740701743201
0.0,10.3467,-415.345,0.6391139209718091
0.0,10.4017,-414.895,0.6388569925413243
0.0,10.4567,-414.445,0.6386027668877534
0.0,10.5118,-413.995,0.6383507465922253
0.0,10.5668,-413.544,0.6381018048251346
0.0,10.6218,-413.094,0.6378554411139646
0.0,10.6769,-412.644,0.6376111745860026
0.0,10.7319,-412.194,0.6373698527879845
0.0,10.7869,-411.743,0.6371309918821392
0.0,10.842,-411.293,0.6368941267152214
0.0,10.897,-410.843,0.6366600803014141
0.0,10.9521,-410.392,0.6364279654639285
0.0,11.0071,-409.942,0.63619858943369
0.0,11.0621,-409.492,0.6359714942871287
0.0,11.1172,-409.041,0.6357462393828148
0.0,11.1722,-408.591,0.6355236091069537
0.0,11.2272,-408.141,0.6353031600811232
0.0,11.2823,-407.691,0.6350844654348642
0.0,11.3373,-407.24,0.634868287649956
0.0,11.3923,-406.79,0.6346541972009098
0.0,11.4474,-406.34,0.6344417803418162
0.0,11.5024,-405.889,0.6342317785403901
0.0,11.5574,-405.439,0.6340237754755449
0.0,11.6125,-404.989,0.6338173699198316
0.0,11.6675,-404.539,0.6336132831705268
0.0,11.7225,-404.088,0.6334111115026829
0.0,11.7776,-403.638,0.6332104656384309
0.0,11.8326,-403.188,0.6330120475044589
0.0,11.8876,-402.737,0.6328154654008664
0.0,11.9427,-402.287,0.6326203414648549
0.0,11.9977,-401.837,0.6324273590113436
0.0,12.0528,-401.387,0.6322357917432782
0.0,12.1078,-400.936,0.632046310966605
0.0,12.1628,-400.486,0.6318585438484179
0.0,12.2179,-400.036,0.6316721304506111
0.0,12.2729,-399.585,0.63148772464785
0.0,12.3279,-399.135,0.6313049642703685
0.0,12.383,-398.685,0.631123499518829
0.0,12.438,-398.235,0.6309439674979688
0.0,12.493,-397.784,0.6307660162441219
0.0,12.5481,-397.334,0.6305893056678539
0.0,12.6031,-396.884,0.6304144567327781
0.0,12.6581,-396.433,0.6302411272502946
0.0,12.7132,-395.983,0.6300689864361401
0.0,12.7682,-395.533,0.6298986397110018
