z_m,h_m,t_hr
19.1898,-2.036,1155.0
19.2861,-2.031,1155.0
19.3824,-2.026,1155.0
19.4787,-2.021,1155.0
19.575,-2.016,1155.0
19.6713,-2.011,1155.0
19.7676,-2.006,1155.0
19.8639,-2.002,1155.0
19.9602,-1.997,1155.0
20.0565,-1.992,1155.0
20.1528,-1.987,1155.0
20.2491,-1.983,1155.0
20.3454,-1.978,1155.0
20.4417,-1.974,1155.0
20.538,-1.969,1155.0
20.6343,-1.965,1155.0
20.7306,-1.96,1155.0
20.8269,-1.956,1155.0
20.9232,-1.952,1155.0
21.0195,-1.948,1155.0
21.1158,-1.944,1155.0
21.2121,-1.94,1155.0
21.3084,-1.936,1155.0
21.4047,-1.932,1155.0
21.501,-1.928,1155.0
21.5973,-1.925,1155.0
21.6936,-1.921,1155.0
21.7899,-1.918,1155.0
21.8862,-1.915,1155.0
21.9825,-1.911,1155.0
22.0788,-1.908,1155.0
22.1751,-1.904,1155.0
22.2714,-1.9,1155.0
22.3677,-1.896,1155.0
22.464,-1.892,1155.0
22.5603,-1.888,1155.0
22.6565,-1.884,1155.0
22.7528,-1.879,1155.0
22.8491,-1.875,1155.0
22.9454,-1.87,1155.0
23.0417,-1.866,1155.0
23.138,-1.861,1155.0
23.2343,-1.856,1155.0
23.3306,-1.852,1155.0
23.4269,-1.847,1155.0
23.5232,-1.842,1155.0
23.6195,-1.837,1155.0
23.7158,-1.832,1155.0
23.8121,-1.827,1155.0
23.9084,-1.823,1155.0
24.0047,-1.818,1155.0
24.101,-1.813,1155.0
24.1973,-1.808,1155.0
24.2936,-1.803,1155.0
24.3899,-1.798,1155.0
24.4862,-1.793,1155.0
24.5825,-1.788,1155.0
24.6788,-1.783,1155.0
24.7751,-1.778,1155.0
24.8714,-1.773,1155.0
24.9677,-1.768,1155.0
25.064,-1.762,1155.0
25.1603,-1.757,1155.0
25.2566,-1.752,1155.0
25.3529,-1.747,1155.0
25.4492,-1.742,1155.0
25.5455,-1.737,1155.0
25.6418,-1.732,1155.0
25.7381,-1.727,1155.0
25.8344,-1.722,1155.0
25.9307,-1.717,1155.0
26.027,-1.712,1155.0
26.1233,-1.707,1155.0
26.2196,-1.702,1155.0
26.3159,-1.697,1155.0
26.4122,-1.692,1155.0
26.5085,-1.687,1155.0
26.6048,-1.682,1155.0
26.7011,-1.677,1155.0
26.7974,-1.672,1155.0
26.8937,-1.667,1155.0
26.99,-1.662,1155.0
27.0863,-1.657,1155.0
27.1826,-1.652,1155.0
27.2789,-1.647,1155.0
27.3752,-1.642,1155.0
27.4715,-1.637,1155.0
27.5678,-1.633,1155.0
27.6641,-1.628,1155.0
27.7604,-1.623,1155.0
27.8567,-1.618,1155.0
27.953,-1.614,1155.0
28.0493,-1.609,1155.0
28.1456,-1.604,1155.0
28.2419,-1.6,1155.0
28.3382,-1.595,1155.0
28.4345,-1.591,1155.0
28.5308,-1.586,1155.0
28.6271,-1.582,1155.0
28.7234,-1.578,1155.0
28.8197,-1.574,1155.0
28.916,-1.569,1155.0
29.0123,-1.565,1155.0
29.1085,-1.561,1155.0
29.2048,-1.558,1155.0
29.3011,-1.554,1155.0
29.3974,-1.55,1155.0
29.4937,-1.546,1155.0
29.59,-1.543,1155.0
29.6863,-1.539,1155.0
29.7826,-1.536,1155.0
29.8789,-1.533,1155.0
29.9752,-1.53,1155.0
30.0715,-1.527,1155.0
30.1678,-1.524,1155.0
30.2641,-1.521,1155.0
30.3604,-1.518,1155.0
30.4567,-1.515,1155.0
30.553,-1.512,1155.0
30.6493,-1.509,1155.0
30.7456,-1.506,1155.0
30.8419,-1.503,1155.0
30.9382,-1.499,1155.0
31.0345,-1.496,1155.0
31.1308,-1.492,1155.0
31.2271,-1.488,1155.0
31.3234,-1.484,1155.0
31.4197,-1.48,1155.0
31.516,-1.476,1155.0
31.6123,-1.472,1155.0
31.7086,-1.468,1155.0
31.8049,-1.463,1155.0
31.9012,-1.459,1155.0
31.9975,-1.455,1155.0
32.0938,-1.45,1155.0
32.1901,-1.446,1155.0
32.2864,-1.441,1155.0
32.3827,-1.436,1155.0
32.479,-1.432,1155.0
32.5753,-1.427,1155.0
32.6716,-1.422,1155.0
32.7679,-1.417,1155.0
32.8642,-1.413,1155.0
32.9605,-1.408,1155.0
33.0568,-1.403,1155.0
33.1531,-1.398,1155.0
33.2494,-1.393,1155.0
33.3457,-1.388,1155.0
33.442,-1.384,1155.0
33.5383,-1.379,1155.0
33.6346,-1.374,1155.0
33.7309,-1.369,1155.0
33.8272,-1.364,1155.0
33.9235,-1.359,1155.0
34.0198,-1.355,1155.0
34.1161,-1.35,1155.0
34.2124,-1.345,1155.0
34.3087,-1.34,1155.0
34.4049,-1.336,1155.0
34.5013,-1.331,1155.0
34.5975,-1.326,1155.0
34.6939,-1.322,1155.0
34.7901,-1.317,1155.0
34.8864,-1.313,1155.0
34.9827,-1.308,1155.0
35.079,-1.304,1155.0
35.1753,-1.299,1155.0
35.2716,-1.295,1155.0
35.3679,-1.291,1155.0
35.4642,-1.286,1155.0
35.5605,-1.282,1155.0
35.6568,-1.278,1155.0
35.7531,-1.274,1155.0
35.8494,-1.27,1155.0
35.9457,-1.266,1155.0
36.042,-1.262,1155.0
36.1383,-1.258,1155.0
36.2346,-1.255,1155.0
36.3309,-1.251,1155.0
36.4272,-1.248,1155.0
36.5235,-1.244,1155.0
36.6198,-1.241,1155.0
36.7161,-1.237,1155.0
36.8124,-1.234,1155.0
36.9087,-1.231,1155.0
37.005,-1.228,1155.0
37.1013,-1.225,1155.0
37.1976,-1.222,1155.0
37.2939,-1.22,1155.0
37.3902,-1.217,1155.0
37.4865,-1.214,1155.0
37.5828,-1.212,1155.0
37.6791,-1.21,1155.0
37.7754,-1.207,1155.0
37.8717,-1.205,1155.0
37.968,-1.203,1155.0
38.0157,-1.202,1155.0
38.0634,-1.201,1155.0
38.111,-1.2,1155.0
38.1587,-1.198,1155.0
38.2064,-1.197,1155.0
38.2541,-1.196,1155.0
38.3018,-1.195,1155.0
38.3495,-1.193,1155.0
38.3972,-1.192,1155.0
38.4449,-1.191,1155.0
38.4925,-1.189,1155.0
38.5402,-1.188,1155.0
38.5879,-1.186,1155.0
38.6356,-1.184,1155.0
38.6833,-1.183,1155.0
38.731,-1.181,1155.0
38.7787,-1.179,1155.0
38.8264,-1.177,1155.0
38.874,-1.175,1155.0
38.9217,-1.173,1155.0
38.9694,-1.171,1155.0
39.0171,-1.169,1155.0
39.0648,-1.167,1155.0
39.1125,-1.164,1155.0
39.1602,-1.162,1155.0
39.2079,-1.159,1155.0
39.2555,-1.156,1155.0
39.3032,-1.153,1155.0
39.3509,-1.15,1155.0
39.3986,-1.146,1155.0
39.4463,-1.142,1155.0
39.494,-1.138,1155.0
39.5417,-1.133,1155.0
39.5893,-1.129,1155.0
39.637,-1.123,1155.0
39.6847,-1.117,1155.0
39.7324,-1.111,1155.0
39.7801,-1.104,1155.0
39.8278,-1.096,1155.0
39.8755,-1.088,1155.0
39.9231,-1.078,1155.0
39.9708,-1.068,1155.0
40.0185,-1.057,1155.0
40.0662,-1.045,1155.0
40.1139,-1.032,1155.0
40.1616,-1.018,1155.0
40.2093,-1.003,1155.0
40.257,-0.987,1155.0
40.3046,-0.969,1155.0
40.3523,-0.951,1155.0
40.4,-0.93,1155.0
40.4477,-0.907,1155.0
40.4954,-0.882,1155.0
40.5431,-0.855,1155.0
40.5908,-0.827,1155.0
40.6385,-0.796,1155.0
40.6861,-0.764,1155.0
40.7338,-0.73,1155.0
40.7815,-0.694,1155.0
40.8292,-0.656,1155.0
40.8769,-0.617,1155.0
40.9246,-0.577,1155.0
40.9723,-0.535,1155.0
40.9964,-0.513,1155.0
41.0205,-0.492,1155.0
41.0447,-0.469,1155.0
41.0688,-0.447,1155.0
41.093,-0.424,1155.0
41.1171,-0.402,1155.0
41.1413,-0.379,1155.0
41.1654,-0.355,1155.0
41.1895,-0.332,1155.0
41.2137,-0.309,1155.0
41.2378,-0.285,1155.0
41.262,-0.261,1155.0
41.2861,-0.238,1155.0
41.3102,-0.214,1155.0
41.3344,-0.19,1155.0
41.3585,-0.166,1155.0
41.3827,-0.142,1155.0
41.4068,-0.118,1155.0
41.431,-0.094,1155.0
41.4551,-0.07,1155.0
41.4792,-0.046,1155.0
41.5034,-0.021,1155.0
41.5275,0.003,1155.0
41.5517,0.027,1155.0
41.5758,0.051,1155.0
41.5999,0.075,1155.0
41.6241,0.099,1155.0
41.6482,0.123,1155.0
41.6724,0.148,1155.0
41.6965,0.172,1155.0
41.7206,0.196,1155.0
41.7448,0.22,1155.0
41.7689,0.244,1155.0
41.7931,0.268,1155.0
41.8172,0.292,1155.0
41.8414,0.317,1155.0
41.8655,0.341,1155.0
41.8896,0.365,1155.0
41.9138,0.389,1155.0
41.9379,0.413,1155.0
41.9621,0.437,1155.0
41.9862,0.461,1155.0
42.0103,0.486,1155.0
42.0345,0.51,1155.0
42.0586,0.534,1155.0
42.0828,0.558,1155.0
42.1069,0.582,1155.0
42.1311,0.606,1155.0
42.1552,0.63,1155.0
42.1793,0.654,1155.0
42.2035,0.679,1155.0
42.2276,0.703,1155.0
42.2518,0.727,1155.0
42.2759,0.751,1155.0
42.3,0.775,1155.0
42.3242,0.799,1155.0
42.3483,0.823,1155.0
42.3725,0.848,1155.0
42.3966,0.872,1155.0
42.4207,0.896,1155.0
42.4449,0.92,1155.0
42.469,0.944,1155.0
42.4932,0.968,1155.0
42.5173,0.992,1155.0
42.5415,1.017,1155.0
42.5656,1.041,1155.0
42.5897,1.065,1155.0
42.6139,1.089,1155.0
42.638,1.113,1155.0
42.6622,1.137,1155.0
42.6863,1.161,1155.0
42.7104,1.186,1155.0
42.7346,1.21,1155.0
42.7587,1.234,1155.0
42.7829,1.258,1155.0
42.807,1.282,1155.0
42.8312,1.306,1155.0
42.8553,1.33,1155.0
42.8794,1.355,1155.0
42.9036,1.379,1155.0
42.9277,1.403,1155.0
42.9519,1.427,1155.0
42.976,1.451,1155.0
43.0001,1.475,1155.0
43.0243,1.499,1155.0
43.0484,1.524,1155.0
43.0726,1.09,1155.0
43.0967,0.659,1155.0
43.1208,-0.101,1155.0
43.145,-0.7,1155.0
43.1691,-0.724,1155.0
43.1933,-0.723,1155.0
43.2174,-0.721,1155.0
43.2416,-0.72,1155.0
43.2657,-0.719,1155.0
43.2898,-0.717,1155.0
43.314,-0.716,1155.0
43.3381,-0.715,1155.0
43.3623,-0.714,1155.0
43.3864,-0.712,1155.0
43.4105,-0.711,1155.0
43.4347,-0.71,1155.0
43.4588,-0.709,1155.0
43.483,-0.707,1155.0
43.5071,-0.706,1155.0
43.5313,-0.705,1155.0
43.5554,-0.703,1155.0
43.5795,-0.702,1155.0
43.6037,-0.701,1155.0
43.6278,-0.7,1155.0
43.652,-0.698,1155.0
43.6761,-0.697,1155.0
43.7002,-0.696,1155.0
43.7244,-0.695,1155.0
43.7485,-0.693,1155.0
43.7727,-0.692,1155.0
43.7968,-0.691,1155.0
43.8209,-0.689,1155.0
43.8451,-0.688,1155.0
43.8692,-0.687,1155.0
43.8934,-0.686,1155.0
43.9175,-0.684,1155.0
43.9417,-0.683,1155.0
43.9658,-0.682,1155.0
43.9899,-0.681,1155.0
44.0141,-0.679,1155.0
44.0382,-0.678,1155.0
44.0624,-0.677,1155.0
44.0865,-0.675,1155.0
44.1106,-0.674,1155.0
44.1348,-0.673,1155.0
44.1589,-0.672,1155.0
44.1831,-0.67,1155.0
44.2072,-0.669,1155.0
44.2313,-0.668,1155.0
44.2555,-0.667,1155.0
44.2796,-0.665,1155.0
44.3038,-0.664,1155.0
44.3279,-0.663,1155.0
44.3521,-0.661,1155.0
44.3762,-0.66,1155.0
44.4003,-0.659,1155.0
44.4245,-0.658,1155.0
44.4486,-0.656,1155.0
44.4728,-0.655,1155.0
44.4969,-0.654,1155.0
44.521,-0.653,1155.0
44.5452,-0.651,1155.0
44.5693,-0.65,1155.0
44.5935,-0.649,1155.0
44.6176,-0.647,1155.0
44.6418,-0.646,1155.0
44.6659,-0.645,1155.0
44.69,-0.644,1155.0
44.7142,-0.642,1155.0
44.7383,-0.641,1155.0
44.7625,-0.64,1155.0
44.7866,-0.639,1155.0
44.8107,-0.637,1155.0
44.8349,-0.636,1155.0
44.859,-0.635,1155.0
44.8832,-0.633,1155.0
44.9073,-0.632,1155.0
44.9314,-0.631,1155.0
44.9556,-0.63,1155.0
44.9797,-0.628,1155.0
45.0039,-0.627,1155.0
45.028,-0.626,1155.0
45.0522,-0.625,1155.0
45.0763,-0.623,1155.0
45.1004,-0.622,1155.0
45.1246,-0.621,1155.0
45.1487,-0.619,1155.0
45.1729,-0.618,1155.0
45.197,-0.617,1155.0
45.2211,-0.616,1155.0
45.2453,-0.614,1155.0
45.2694,-0.613,1155.0
45.2936,-0.612,1155.0
45.3177,-0.611,1155.0
45.3419,-0.609,1155.0
45.366,-0.608,1155.0
45.3901,-0.607,1155.0
45.4143,-0.605,1155.0
45.4384,-0.604,1155.0
45.4626,-0.603,1155.0
45.4867,-0.602,1155.0
45.5108,-0.6,1155.0
45.535,-0.599,1155.0
45.5591,-0.598,1155.0
45.5833,-0.597,1155.0
45.6074,-0.595,1155.0
45.6316,-0.594,1155.0
45.6557,-0.593,1155.0
