t_hours,z_meters,psi_meters,t_norm,z_norm,psi_norm,source
1421.0,0.1208,-0.886,0.7916666666666666,0.0021963636363636365,-0.23901747756258873,profile_snapshot
1467.0,0.8454,-0.185,0.9285714285714286,0.015370909090909091,0.0921114785073216,profile_snapshot
1155.0,0.3382,-0.762,0.0,0.006149090909090909,-0.18044402456306097,profile_snapshot
1417.0,0.4106,-0.876,0.7797619047619048,0.007465454545454546,-0.2342938119981105,profile_snapshot
1365.0,1.256,-0.533,0.625,0.022836363636363637,-0.0722720831365139,profile_snapshot
1369.0,2.4154,-0.448,0.6369047619047619,0.043916363636363635,-0.03212092583845072,profile_snapshot
1439.0,1.4492,-0.681,0.8452380952380952,0.02634909090909091,-0.1421823334907889,profile_snapshot
1431.0,0.942,-0.761,0.8214285714285714,0.017127272727272727,-0.1799716580066132,profile_snapshot
1369.0,0.4831,-0.684,0.6369047619047619,0.008783636363636363,-0.14359943316013235,profile_snapshot
1369.0,1.8599,-0.484,0.6369047619047619,0.03381636363636364,-0.04912612187057164,profile_snapshot
1485.0,0.9178,-0.358,0.9821428571428571,0.016687272727272728,0.010392064241851573,profile_snapshot
1433.0,0.0242,-0.066,0.8273809523809523,0.00043999999999999996,0.14832309872461025,profile_snapshot
1471.0,2.5845,-0.576,0.9404761904761905,0.04699090909090909,-0.0925838450637696,profile_snapshot
1329.0,0.4589,-0.557,0.5178571428571429,0.008343636363636364,-0.08360888049126125,profile_snapshot
1375.0,0.6763,-0.656,0.6547619047619048,0.012296363636363637,-0.13037316957959388,profile_snapshot
1365.0,1.9565,-0.47,0.625,0.03557272727272727,-0.04251299008030229,profile_snapshot
1325.0,1.5941,-0.396,0.5059523809523809,0.028983636363636364,-0.0075578649031649014,profile_snapshot
1323.0,0.9662,-0.452,0.5,0.017567272727272727,-0.034010392064241834,profile_snapshot
1275.0,2.2946,-0.639,0.35714285714285715,0.04172,-0.1223429381199812,profile_snapshot
1209.0,1.7874,-0.59,0.16071428571428573,0.03249818181818182,-0.09919697685403872,profile_snapshot
1419.0,1.5217,-0.626,0.7857142857142857,0.027667272727272728,-0.11620217288615964,profile_snapshot
1421.0,2.9468,-0.496,0.7916666666666666,0.053578181818181816,-0.0547945205479452,profile_snapshot
1417.0,0.0966,-0.909,0.7797619047619048,0.0017563636363636364,-0.24988190836088808,profile_snapshot
1445.0,1.6666,-0.656,0.8630952380952381,0.030301818181818183,-0.13037316957959388,profile_snapshot
1445.0,2.1014,-0.606,0.8630952380952381,0.03820727272727273,-0.10675484175720362,profile_snapshot
1373.0,0.1449,-0.868,0.6488095238095238,0.0026345454545454545,-0.23051487954652805,profile_snapshot
1421.0,1.8357,-0.592,0.7916666666666666,0.03337636363636364,-0.10014170996693439,profile_snapshot
1269.0,2.4878,-0.615,0.3392857142857143,0.04523272727272727,-0.11100614076523385,profile_snapshot
1281.0,0.8937,-0.278,0.375,0.01624909090909091,0.04818138875767586,profile_snapshot
1447.0,0.1691,-0.407,0.8690476190476191,0.0030745454545454544,-0.012753897024090799,profile_snapshot
1445.0,1.9323,-0.624,0.8630952380952381,0.035132727272727274,-0.11525743977326419,profile_snapshot
1381.0,0.6522,-0.687,0.6726190476190477,0.011858181818181818,-0.1450165328294758,profile_snapshot
1269.0,-0.0,-0.172,0.3392857142857143,-0.0,0.09825224374114305,profile_snapshot
1483.0,-0.0,-0.413,0.9761904761904762,-0.0,-0.01558809636277747,profile_snapshot
1263.0,2.4395,-0.611,0.32142857142857145,0.04435454545454545,-0.10911667453944263,profile_snapshot
1425.0,0.5314,-0.847,0.8035714285714286,0.009661818181818181,-0.22059518186112426,profile_snapshot
1421.0,2.4878,-0.528,0.7916666666666666,0.04523272727272727,-0.069910250354275,profile_snapshot
1173.0,1.9323,-0.484,0.05357142857142857,0.035132727272727274,-0.04912612187057164,profile_snapshot
1403.0,1.7391,-0.566,0.7380952380952381,0.03162,-0.08786017949929137,profile_snapshot
1239.0,9.8489,-2.497,0.25,0.1790709090909091,-1.0,profile_snapshot
1173.0,15.2416,-2.244,0.05357142857142857,0.27712,-0.8804912612187059,profile_snapshot
